# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
pos,86275.334388,8.383770,1.848530,53.922991,-36.084220,-106.605186,33.662952
pos,86249.636444,10.250530,2.976819,-0.255171,-1.510729,-107.192146,33.973534
pos,86192.732710,9.375120,2.159620,72.316092,21.841003,-106.405914,34.183304
pos,86138.763687,10.012460,2.402150,-1.052048,-0.358064,-107.200783,33.983887
pos,86337.082065,10.934720,1.384470,29.417770,-65.614800,-106.870674,33.397675
pos,86349.489854,9.416121,1.719769,67.175480,21.056720,-106.461609,34.176258
pos,85992.991041,10.304470,1.128079,44.535102,-28.210970,-106.706894,33.733681
pos,86202.652417,10.385731,1.437319,64.052278,21.299646,-106.495445,34.178440
pos,86116.356776,7.909650,0.265890,73.530951,-23.765682,-106.392754,33.773613
pos,86301.506163,11.534280,1.550370,55.677507,-38.543898,-106.586174,33.640858
pos,85819.721328,9.453429,1.370871,32.205578,-65.572602,-106.840469,33.398056
pos,86184.216873,9.538760,2.048790,60.553334,22.218129,-106.533348,34.186691
pos,85925.338580,5.542210,2.200850,75.289879,23.562017,-106.373695,34.198765
pos,85849.766992,9.964170,0.624521,70.731795,22.923718,-106.423080,34.193031
pos,85956.607283,11.431970,1.186311,67.051914,19.963741,-106.462944,34.166439
pos,85881.586870,12.613009,0.293941,74.275501,-16.939791,-106.384682,33.834930
pos,86095.408400,9.373680,2.762039,47.844284,25.543446,-106.671043,34.216564
pos,86005.785183,12.367870,1.771410,0.875839,-0.778529,-107.179893,33.980110
pos,85811.084260,9.520700,1.731640,0.740295,-3.716836,-107.181366,33.953712
pos,86338.053969,9.320120,1.653211,61.859606,21.289001,-106.519196,34.178345
pos,86200.143074,11.345670,1.957211,47.910481,-28.740922,-106.670326,33.728920
pos,86327.088685,11.747100,1.613280,76.843285,-28.198804,-106.356865,33.733788
pos,85997.160415,11.585099,2.718691,73.330470,20.924422,-106.394920,34.175072
pos,85940.465234,6.855920,2.547360,-8.522767,1.004073,-107.281723,33.996124
pos,86046.615904,4.647800,2.529570,66.555127,21.272654,-106.468330,34.178200
pos,86349.563272,10.230010,1.864250,72.863945,-23.745533,-106.399979,33.773792
pos,86384.303367,12.822750,1.115870,78.132535,-19.767850,-106.342896,33.809525
pos,85893.148399,8.023680,1.275391,-17.438456,3.267965,-107.378311,34.016460
pos,86239.675579,10.654269,0.351001,58.382727,1.453049,-106.556870,34.000156
pos,86242.191145,7.245720,1.058100,52.845568,-36.560568,-106.616859,33.658672
pos,85895.521326,11.987750,2.927429,73.435124,-25.516729,-106.393791,33.757881
pos,86124.362224,9.498330,1.329260,29.273400,-68.707455,-106.872238,33.369892
pos,85959.575416,10.079969,0.786370,65.898208,22.846164,-106.475441,34.192333
pos,86372.626996,10.243710,2.497651,29.272769,-65.217146,-106.872246,33.401249
pos,86238.968749,9.871420,2.564260,62.195001,6.170156,-106.515564,34.042530
pos,85843.546710,9.526940,1.391829,67.737203,23.005073,-106.455521,34.193760
pos,86219.446223,7.205360,2.195950,68.966562,24.197656,-106.442200,34.204475
pos,86212.119692,12.257490,1.678470,73.350645,-17.580751,-106.394707,33.829174
pos,86080.708469,10.872800,1.374741,69.376978,21.279497,-106.437752,34.178261
pos,86372.897908,10.296830,2.464330,-0.096300,-3.878407,-107.190430,33.952263
