# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
pos,86275.333579,8.890550,1.488351,53.922991,-36.084220,-106.605186,33.662952
pos,86249.636444,8.781850,3.888920,-0.255171,-1.510729,-107.192146,33.973534
pos,86192.732710,9.600491,1.490399,72.316092,21.841003,-106.405914,34.183304
pos,86138.763484,8.312290,3.587030,-1.052048,-0.358064,-107.200783,33.983887
pos,86337.080075,10.385130,1.549380,29.417770,-65.614800,-106.870674,33.397675
pos,86349.484677,9.252400,1.761409,67.175480,21.056720,-106.461609,34.176258
pos,85992.977061,9.659070,1.517520,44.535102,-28.210970,-106.706894,33.733681
pos,86202.641483,9.727930,1.486640,64.052278,21.299646,-106.495445,34.178440
pos,86116.362217,8.175540,1.172120,73.530951,-23.765682,-106.392754,33.773613
pos,86301.505717,10.556210,1.877731,55.677507,-38.543898,-106.586174,33.640858
pos,85819.721328,8.018530,2.406080,32.205578,-65.572602,-106.840469,33.398056
pos,86184.214039,8.851480,2.592629,60.553334,22.218129,-106.533348,34.186691
pos,85925.221004,6.922490,2.964120,75.289879,23.562017,-106.373695,34.198765
pos,85849.765862,9.598480,0.920579,70.731795,22.923718,-106.423080,34.193031
pos,85956.564436,9.088639,2.758061,67.051914,19.963741,-106.462944,34.166439
pos,85881.505387,10.927790,1.710911,74.275501,-16.939791,-106.384682,33.834930
pos,86095.408400,8.873380,2.713670,47.844284,25.543446,-106.671043,34.216564
pos,86005.783566,10.066740,3.238810,0.875839,-0.778529,-107.179893,33.980110
pos,85811.084260,9.258611,1.937559,0.740295,-3.716836,-107.181366,33.953712
pos,86338.053830,9.570320,1.061840,61.859606,21.289001,-106.519196,34.178345
pos,86200.141602,9.572870,1.873380,47.910481,-28.740922,-106.670326,33.728920
pos,86327.086406,10.187941,2.848000,76.843285,-28.198804,-106.356865,33.733788
pos,85997.139461,9.391800,1.337290,73.330470,20.924422,-106.394920,34.175072
pos,85940.465234,8.521770,1.520221,-8.522767,1.004073,-107.281723,33.996124
pos,86046.445955,5.732860,1.415540,66.555127,21.272654,-106.468330,34.178200
pos,86349.563272,9.469060,2.541020,72.863945,-23.745533,-106.399979,33.773792
pos,85826.730644,10.657360,0.591670,50.398199,33.090133,-106.643372,34.284355
pos,86384.303367,9.887620,4.051001,78.132535,-19.767850,-106.342896,33.809525
pos,85893.148399,8.629590,0.856380,-17.438456,3.267965,-107.378311,34.016460
pos,86239.707826,8.032250,1.473889,58.382727,1.453049,-106.556870,34.000156
pos,86242.191145,7.343420,1.679749,52.845568,-36.560568,-106.616859,33.658672
pos,85895.519501,9.561120,2.938640,73.435124,-25.516729,-106.393791,33.757881
pos,86124.358104,8.793230,1.576341,29.273400,-68.707455,-106.872238,33.369892
