# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
pos,85480.063701,11.552910,1.783120,56.944062,-31.775792,-106.572456,33.701656
pos,85769.111705,11.122910,2.372479,-0.333346,1.794819,-107.192993,34.003227
pos,85268.247475,9.457310,0.921940,0.335552,3.776627,-107.185753,34.021030
pos,85638.045794,11.220830,2.491570,54.708520,33.109141,-106.596672,34.284527
pos,85283.879232,10.184810,1.322690,0.421292,1.949167,-107.184822,34.004612
pos,85388.346835,10.144509,1.873570,51.416360,12.165003,-106.632339,34.096382
pos,85256.090092,10.494990,2.261790,55.287895,-22.387198,-106.590393,33.785995
pos,85677.694831,10.653610,4.639150,79.631092,-24.540081,-106.326660,33.766655
pos,85752.257590,14.701300,0.000000,71.076646,24.362648,-106.419342,34.205956
pos,85375.986307,8.045120,1.251590,-18.879643,4.455605,-107.393929,34.027130
pos,85694.614190,10.031810,1.856800,63.692927,23.380298,-106.499336,34.197132
pos,85425.862161,10.214160,2.948630,-2.108035,3.378973,-107.212227,34.017456
pos,85402.454537,8.677540,1.160280,-19.977240,2.951286,-107.405815,34.013615
pos,85750.526061,10.791010,2.671590,-10.513698,2.023299,-107.303291,34.005280
pos,85202.551154,5.336760,1.948650,79.208697,-21.874733,-106.331238,33.790600
pos,85385.555080,9.926800,1.069090,1.713695,-2.541741,-107.170822,33.964272
pos,85659.555087,10.471940,1.741560,54.903957,-31.150798,-106.594559,33.707272
pos,85314.138568,11.380401,1.540689,0.860709,2.196275,-107.180061,34.006832
pos,85209.912201,9.351310,0.768890,45.886136,32.332461,-106.692253,34.277550
pos,85313.204042,13.818890,3.587070,55.689485,-39.323999,-106.586044,33.633850
pos,85401.809515,10.846690,1.888890,-1.332594,3.429535,-107.203819,34.017910
pos,85304.736241,10.325080,1.825460,0.155876,5.175260,-107.187698,34.033592
pos,85697.406155,10.185719,1.984200,-2.031752,1.525281,-107.211395,34.000805
pos,85539.191683,11.058110,2.551050,75.632209,-9.035367,-106.369987,33.905937
pos,85678.643916,11.032519,1.510681,-0.787893,1.817629,-107.197922,34.003429
pos,85572.663158,11.138870,2.046809,75.634730,-10.806563,-106.369957,33.890026
pos,85482.508370,11.978090,2.817539,75.837732,-11.111837,-106.367760,33.887283
pos,85547.666694,10.413691,1.884199,-1.492095,2.359366,-107.205551,34.008297
pos,85449.831657,10.131050,1.635030,46.281422,31.916558,-106.687973,34.273815
pos,85797.234550,9.306420,2.383860,52.737133,-21.070681,-106.618034,33.797821
pos,85505.239114,10.920370,2.419420,-0.866068,2.762723,-107.198769,34.011921
pos,85754.134624,5.662760,0.841430,80.893234,-22.539644,-106.312988,33.784626
pos,85217.928003,9.583700,2.288990,48.491747,-18.449432,-106.664024,33.821369
pos,85225.857486,9.636450,2.386371,57.561263,28.914763,-106.565765,34.246849
