Lightning Mapping Array analyzed data
Analysis program: /home/lawrence/lma/bin/lma_analysis_gold -d 20240726 -t 195000 -s 600 -g /home/lawrence/lma/loc/ll_lma.gps -n 5 -o . --decimate 80
Analysis program version: 10.14.10R
File created: Thu Nov  7 21:22:12 2024
Data start time: 07/26/24 19:50:00
Number of seconds analyzed: 600
Location: LL
Coordinate center (lat,lon,alt): 33.9871028 -107.1893842 0.00
Coordinate frame: cartesian
Maximum diameter of LMA (km): 180.532
Maximum light-time across LMA (ns): 602311
Number of stations: 15
Number of active stations: 14
Active stations: A B D F G H I J K L P Q R W
Minimum number of stations per solution: 5
Maximum reduced chi-squared: 5.00
Maximum number of chi-squared iterations: 20
Station information: id, name, lat(d), lon(d), alt(m), delay(ns), board_rev, rec_ch
Sta_info: A  SocAirport         34.0226081  -106.8973572  1443.29   45 3  3
Sta_info: B  SixMile            33.9988736  -107.0478267  1882.62   45 3  3
Sta_info: D  CatMountain        34.0101164  -107.3919636  2096.02   45 3  3
Sta_info: F  MagdelenaArpt      34.0960136  -107.2980397  2022.22   45 3  3
Sta_info: G  Belen              34.6502392  -106.8286539  1562.53   45 3  3
Sta_info: H  Pound              34.0903625  -107.0894964  1822.74   45 3  3
Sta_info: I  Highland           33.7699950  -107.0378006  1542.06   45 3  3
Sta_info: J  FtCraig            33.6422606  -107.1234517  1469.93   45 3  3
Sta_info: K  Gwen               33.9871028  -107.1893842  3210.40   45 3  3
Sta_info: L  DarkCanyon         34.0183967  -107.2734133  2209.03   45 3  3
Sta_info: P  Moriarty           34.9730683  -105.9952364  1870.76   45 3  3
Sta_info: Q  USGS               34.9454650  -106.4598553  1816.65   45 3  3
Sta_info: R  DoubleEagle        35.1569919  -106.8057042  1766.32   45 3  3
Sta_info: W  Cienega            33.8769039  -107.0887144  1843.88   45 3  3
Sta_info: Y  Sandwell           34.2022717  -107.0908975  1759.74   45 3  3
Station data: id, name, win(us), dec_win(us), data_ver, rms_error(ns), sources, %, <P/P_m>, active
Sta_data: A  SocAirport          80    10   70    31354  66.9  0.80   A
Sta_data: B  SixMile             80    10   70    21931  46.8  1.37   A
Sta_data: D  CatMountain         80    10   70      430   0.9  0.00   A
Sta_data: F  MagdelenaArpt       80    10   70    23426  50.0  1.60   A
Sta_data: G  Belen               80    10   70     2396   5.1  0.01   A
Sta_data: H  Pound               80    10   70     6694  14.3 30.82   A
Sta_data: I  Highland            80    10   70    29214  62.4  0.68   A
Sta_data: J  FtCraig             80    10   70    30974  66.1  2.00   A
Sta_data: K  Gwen                80    10   70     1511   3.2  0.00   A
Sta_data: L  DarkCanyon          80    10   70    21932  46.8  1.16   A
Sta_data: P  Moriarty            80    10   70    27101  57.8  0.53   A
Sta_data: Q  USGS                80    10   70    12195  26.0  0.07   A
Sta_data: R  DoubleEagle         80    10   70    21734  46.4  1.48   A
Sta_data: W  Cienega             80    10   70    26235  56.0  1.28   A
Sta_data: Y  Sandwell             0     0   70        0   0.0  0.00  NA
Metric file version: 4
Station mask order: YWRQPLKJIHGFDBA
Data: time (UT sec of day), lat, lon, alt(m), reduced chi^2, P(dBW), mask
Data format: 15.9f 12.8f 13.8f 9.2f 6.2f 5.1f 6x
Number of events: 46853
*** data ***
71400.004410719  34.67222783 -107.10564701  29825.97   2.27  -4.4 0x3228
71400.036390778  34.73372488 -109.27204348 285486.36   0.02  12.0 0x12a1
71400.120866517  33.64802744 -106.85178678 118119.45   0.29   1.0 0x24a1
71400.123712710  34.83722432 -107.38727083 102037.08   4.69   1.0 0x0c49
71400.128857099  33.85104493 -108.10670315  45779.69   0.02   2.7 0x3481
71400.130491301  33.64302469 -107.60532593  72360.81   0.32   3.1 0x24c8
71400.131364626  34.68421648 -107.56583710 221481.92   1.04   5.6 0x1688
71400.146259745  31.51096448 -108.24989996 196479.40   3.76  10.3 0x3488
71400.196571720  34.30034889 -106.12610908 133037.41   2.26   6.3 0x1468
71400.362683196  33.89211811 -107.05652779  27099.07   4.93   1.4 0x10a3
71400.413799596  34.24755849 -107.10372776  46476.86   3.95  -0.2 0x12c2
71400.447044560  34.29442235 -107.20851928  54767.11   4.49   0.3 0x048b
71400.504210633  33.86321727 -106.81052590 105633.46   0.34   3.0 0x04a3
71400.504531738  35.13066975 -106.24977045 363040.73   0.03  11.1 0x3228
71400.529492542  34.68794346 -107.31475798  33436.48   2.49  -1.0 0x1ca0
71400.535828291  34.53815357 -106.07217846  68596.47   4.31  -0.4 0x1468
71400.612375621  34.61091861 -105.96147228 145329.63   0.46  10.5 0x1289
71400.622460103  35.07448893 -105.75961300  49174.64   0.85   2.7 0x3460
71400.746625174  34.14192636 -108.10086958 143713.46   0.08   4.0 0x04e8
71400.780372692  34.13330403 -105.58189491  57358.23   0.67   7.2 0x14c1
71400.829896717  34.00574845 -107.78561737 348001.71   0.14  13.5 0x10a9
71400.963905584  33.95470382 -107.12126464  39202.42   2.98  -1.2 0x24a8
71400.979391995  37.01842697 -107.03520102 132657.08   0.91   8.4 0x0668
71401.014329339  34.48340049 -105.18626463  44082.13   0.10   3.4 0x1688
71401.030105577  33.67049147 -107.82971753 255551.14   0.50  10.5 0x16a0
71401.035529296  39.12813543 -102.47399782 153662.18   0.00  13.4 0x3460
71401.047245419  33.91994422 -108.03474716 123176.74   0.00   6.4 0x1660
71401.052218444  31.43080216 -106.59567224 146002.03   0.02   7.9 0x3601
71401.054957067  33.39673119 -107.77865371  87218.78   0.38   3.0 0x26a0
71401.120474489  34.41490442 -108.11701753 444362.98   0.12  10.0 0x0649
71401.179386362  32.46898263 -108.89413987 344288.06   4.38  15.7 0x14a8
71401.181894740  36.62043764 -106.13857842 147756.08   0.24   4.7 0x0e41
71401.530015363  33.56599112 -107.42773241 244354.99   2.61   9.1 0x04c9
71401.564446077  35.21911270 -106.77091570  78222.47   0.74   4.6 0x12c2
71401.623650804  34.56268114 -108.21909894  13357.84   2.99   7.3 0x1e80
71401.624816383  34.59037619 -108.50209419  61112.07   0.99   7.8 0x1681
71401.625481418  33.34633204 -110.50653317 352730.16   0.34  17.7 0x160a
71401.625938998  34.73379200 -107.05726396  40097.82   2.19   3.7 0x2a88
71401.626159688  34.71262132 -109.83045338  61607.45   2.03  11.8 0x1e80
71401.626683247  34.31782954 -105.95695609  39797.76   4.77   3.5 0x06c8
71401.627573159  33.17952333 -108.18034700 513365.61   0.18  16.6 0x1688
71401.628130257  35.33665565 -106.53573596  45289.79   0.48   3.3 0x0a68
71401.628280648  34.56131791 -108.22130942  12696.58   2.41  13.9 0x1c99
71401.629127906  34.55637538 -108.22510928  13753.85   1.95   6.7 0x1cc8
71401.629200312  35.00144634 -106.73599432  33170.77   1.91  -0.1 0x1660
71401.629258959  34.55460134 -108.22260353  13779.33   1.87   5.0 0x0cc9
71401.629486098  34.49220091 -107.73575569  49679.59   0.10   9.3 0x1688
71401.630470476  34.27256342 -105.63968285  30603.23   1.19  -2.0 0x0ec0
71401.631744693  34.55826676 -108.22598140  14349.87   0.60   6.3 0x1e80
71401.632086348  34.55347521 -108.22856664  13955.01   0.99   6.9 0x1cc8
71401.632329903  34.55306179 -108.23798356  16089.41   3.14   7.1 0x1e09
71401.632766237  34.39309606 -107.66727454  40699.29   2.39  11.8 0x1688
71401.632772136  34.36745498 -107.34505845  34893.70   2.94   1.2 0x1a48
71401.633522067  34.55745729 -108.22317758  13588.99   0.98   9.8 0x1c89
71401.633720786  34.55731062 -108.21666539  14801.61   1.02  11.8 0x18c9
71401.634059667  34.54929296 -108.22385522  11047.85   2.69   5.4 0x1e88
71401.634283912  34.55689593 -108.21612394  13901.17   1.44   6.1 0x1cc9
71401.635328173  34.55887004 -108.23655548  17039.30   3.57   7.5 0x1e09
71401.636358909  32.82289542 -106.66768217  48834.79   4.80  11.1 0x1648
71401.636371543  34.55814742 -108.22263876  13749.41   1.88  13.9 0x3cd9
71401.636510333  34.55639107 -108.22126249  14967.08   0.56  17.8 0x30d9
71401.636615347  33.81013648 -107.30225928  26347.55   2.48  11.7 0x3601
